trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.1, 'e': 0.6058201566434628}",25,0,-27.586335125613825,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.1, 'e': 0.5978339822872982}",20,0,9.110618101372713,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.5897880250310982}",30,13,12.98622070823268,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.5816830894638835}",25,0,-86.10600965306028,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.5735199860724567}",20,13,-37.36326853849271,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.5652995311603544}",25,14,9.441083818443161,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.5570225467662173}",20,0,-59.80774134289354,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.5486898605815875}",20,0,-50.86745644139431,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.5403023058681398}",20,0,-81.16195008353304,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.5318607213743555}",20,0,-4.238636697980512,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.5233659512516495}",25,0,-102.84617340955974,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.1, 'e': 0.5148188449699553}",25,3,-55.50824781167858,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.1, 'e': 0.5062202572327784}",30,19,-4.0535362618200805,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.49757104789172696}",20,0,-20.065460709145672,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.4888720818605275}",30,18,22.726320105970373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.4801242290285341}",25,12,-24.833422165372962,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.47132836417373997}",20,0,-101.91730844275702,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
